,Wards in Nairobi,Number of scrap dealers,Presence of open sewage,Sources of water(Borehole),no. of Industries
372,Lower Savannah,"""25","000""",96,1
373,Kahawa West,"""10","000""",71,1
374,Sarangombe,"""48","100""",95,0
375,Kahawa West,"""46","600""",61,0
376,Karen,"""42","000""",93,0
377,Mabatini,"""48","000""",101,0
378,Eastleigh South,"""20","000""",46,0
379,Kayole Central,"""42","800""",52,1
380,Mutu-ini,"""44","000""",81,1
381,Ruiru,"""13","000""",44,0
382,Nairobi South,"""46","174""",50,0
383,Korogocho,"""48","100""",75,0
384,Korogocho,"""48","100""",85,0
385,South C,"""20","000""",87,1
386,Njiru,"""38","918""",95,1
387,Clay City,"""40","500""",89,0
388,Eastleigh South,"""52","500""",67,1
389,Sarangombe,"""52","600""",60,0
390,Eastleigh South,"""82","972""",50,0
391,Kilimani,"""23","000""",72,0
392,Uthiru/Ruthi,"""48","000""",50,0
393,Landimawe,"""41","800""",84,1
394,Landimawe,"""41","900""",79,0
395,Kiamaiko,"""123","000""",108,1
396,Kayole Central,"""62","600""",79,0
397,Kilimani,"""44","800""",86,1
398,Matopeni/Spring Valley,"""42","500""",69,0
399,Dandora Area IV,"""39","377""",114,1
400,Mowlem,"""15","000""",69,0
401,Kabiro,"""43","200""",44,0
402,Viwandani,"""29","000""",98,1
403,Mugumu-Ini,"""48","997""",70,1
404,Dandora Area II,"""36","037""",80,0
405,Komarock,"""45","000""",53,1
406,Kitengela,"""45","000""",72,1
407,Starehe,"""62","583""",51,0
408,Kamukunji,"""51","890""",78,1
409,Pipeline,"""42","600""",61,0
410,Kariobangi South,"""44","800""",55,1
411,South C,"""46","174""",49,1
412,Mlango Kubwa,"""22","000""",108,1
413,Matopeni/Spring Valley,"""13","000""",100,1
414,Embakasi,"""45","000""",66,1
415,Nyayo Highrise,"""12","000""",88,1
416,Westlands,"""41","700""",77,1
417,Mountain View,"""17","000""",60,1
418,Kilimani,"""43","000""",122,0
419,Nairobi West,"""22","000""",147,1
420,Lucky Summer,"""45","600""",53,0
421,Thika,"""42","200""",73,0
422,Gatina,"""20","000""",82,0
423,Pipeline,"""123","000""",54,1
424,Gatina,"""46","174""",69,1
425,Kitengela,"""43","000""",58,1
426,Kayole Central,"""22","000""",58,0
427,Athi River,"""50","800""",75,1
428,Nyayo Highrise,"""13","000""",98,1
429,Riruta,"""27","000""",85,0
430,Thika,"""20","000""",63,0
431,Woodley /Kenyatta Golf Course,"""13","000""",37,0
432,Komarock,"""42","800""",104,1
433,Dandora Area IV,"""46","174""",119,1
434,Karura,"""41","900""",60,0
435,Kware,"""36","037""",98,1
436,Kibera,"""41","900""",57,1
437,Kibera,"""42","400""",69,0
438,Sarangombe,"""42","300""",51,0
439,Kasarani,"""123","000""",46,0
440,Kwa Njenga,"""44","000""",62,1
441,Kahawa West,"""48","000""",55,0
442,Komarock,"""42","000""",106,1
443,Dandora Area I,"""12","000""",96,0
444,Kayole North,"""41","500""",74,1
445,Gatina,"""38","918""",51,1
446,Baba Dogo,"""24","000""",89,1
447,Mwiki,"""14","000""",67,1
448,Dandora Area IV,"""46","800""",46,0
449,Mabatini,"""48","000""",92,1
450,Kahawa,"""12","000""",50,0
451,Kwa Ruben,"""45","000""",67,0
452,Sarangombe,"""52","500""",86,0
453,Lucky Summer,"""23","000""",117,0
454,Kayole North,"""45","000""",101,1
455,Ngara,"""21","000""",79,0
456,Embakasi Central,"""26","000""",94,1
457,Kilimani,"""52","500""",76,1
458,Kitisuru,"""109","890""",45,0
459,Karen,"""123","000""",107,1
460,Kahawa,"""42","800""",87,0
461,Kasarani,"""231","700""",102,1
462,Laini saba,"""26","000""",203,1
463,Riruta,"""42","500""",98,0
464,Makongeni,"""39","377""",76,0
465,Embakasi South,"""16","000""",102,0
466,Harambee,"""46","400""",62,1
467,Embakasi North,"""41","500""",41,0
468,Roysambu,"""46","200""",62,0
469,Eastleigh North,"""12","000""",71,0
470,Ruiru,"""43","600""",92,1
471,Utawala,"""51","890""",86,0
472,Embakasi South,"""45","000""",78,0
473,Hospital,"""63","000""",42,1
474,Lucky Summer,"""42","200""",74,0
475,Mathare South,"""42","600""",62,0
476,Kitisuru,"""44","200""",55,0
477,Komarock,"""12","000""",88,1
478,Mountain View,"""42","200""",48,1
479,Ngando,"""63","000""",97,1
480,Kabiro,"""40","500""",61,0
481,Utawala,"""41","600""",90,1
482,Kayole Central,"""18","000""",54,0
483,Laini saba,"""17","000""",98,1
484,Embakasi East,"""63","000""",92,0
485,Sarangombe,"""14","000""",48,0
486,Makongeni,"""44","918""",80,0
487,Mabatini,"""19","000""",81,0
488,Eastleigh North,"""48","997""",99,0
489,Karen,"""14","000""",65,1
490,Karen,"""25","000""",56,0
491,Mwiki,"""18","000""",86,0
492,Kahawa West,"""19","000""",93,1
493,Mowlem,"""44","400""",105,1
494,Kasarani,"""12","000""",50,1
495,Kwa Ruben,"""63","000""",99,0
496,Utalii,"""27","000""",84,0
497,Kileleshwa,"""45","000""",72,1
498,Dandora Area III,"""40","500""",51,0
499,Nairobi Central,"""42","300""",98,0
500,Ruiru,"""50","800""",53,0
501,Kangemi,"""42","972""",117,0
502,Sarangombe,"""20","000""",67,1
503,Clay City,"""21","000""",61,0
504,Harambee,"""40","500""",54,0
505,Kware,"""46","000""",154,0
506,Athi River,"""42","400""",68,0
507,Westlands,"""43","000""",84,0
508,Westlands,"""45","600""",46,0
509,Makongeni,"""42","600""",56,0
510,Njiru,"""44","000""",65,0
511,Umoja II,"""41","700""",118,1
512,Laini saba,"""231","700""",96,1
513,Utalii,"""13","000""",95,1
514,Kware,"""41","500""",78,1
515,Kayole South,"""18","000""",42,0
516,Embakasi South,"""48","000""",73,0
517,Dandora Area III,"""41","700""",67,0
518,Kasarani,"""24","000""",52,0
519,Pangani,"""20","000""",75,0
520,Upper Savannah,"""123","000""",69,0
521,Komarock,"""109","890""",88,1
522,Mowlem,"""25","000""",46,0
523,Mathare South,"""48","000""",74,0
524,Harambee,"""42","800""",103,0
525,Dandora Area II,"""16","000""",97,0
526,Upper Savannah,"""41","500""",108,1
527,Pipeline,"""14","000""",101,1
528,Ngando,"""44","918""",34,0
529,Utawala,"""45","400""",64,1
530,Korogocho,"""48","100""",93,1
531,Mutu-ini,"""43","400""",53,0
532,Dandora Area IV,"""24","000""",89,1
533,Kawangware,"""46","200""",53,0
534,Kahawa,"""52","500""",40,0
535,Kabiro,"""45","000""",76,0
536,Umoja II,"""48","997""",81,1
537,Syokimau,"""45","000""",68,1
538,Ngei,"""21","000""",91,0
539,Landimawe,"""42","500""",114,1
540,Mugumu-Ini,"""40","500""",81,0
541,Syokimau,"""41","600""",47,0
542,Ngando,"""231","700""",47,0
543,Kileleshwa,"""231","700""",69,0
544,Umoja II,"""42","000""",122,1
545,Kilimani,"""123","000""",94,0
546,Kayole South,"""43","000""",48,0
547,Kayole South,"""41","800""",73,1
548,Pumwani,"""42","200""",65,1
549,Githurai,"""43","000""",55,0
550,Mihango,"""38","918""",92,1
551,Riruta,"""38","918""",45,0
552,Nairobi West,"""19","000""",87,1
553,Mugumu-Ini,"""51","890""",83,0
554,Kayole North,"""42","400""",57,1
555,Kahawa,"""43","800""",33,0
556,Mihango,"""43","200""",107,0
557,Umoja II,"""42","000""",112,1
558,Woodley /Kenyatta Golf Course,"""23","000""",42,0
559,Starehe,"""21","000""",63,0
560,Makongeni,"""51","890""",77,0
561,Lower Savannah,"""46","200""",105,1
562,Utawala,"""19","000""",89,0
563,Kasarani,"""20","000""",88,0
564,Airbase,"""21","000""",80,0
565,South C,"""52","500""",141,1
566,Lower Savannah,"""42","600""",103,0
567,Njiru,"""39","377""",81,1
568,Umoja I,"""12","000""",33,0
569,Riruta,"""48","997""",50,0
570,Lindi Makina,"""41","600""",57,0
571,Mugumu-Ini,"""38","918""",102,0
572,Kahawa West,"""43","800""",64,1
573,Landimawe,"""44","918""",113,1
574,Dandora Area II,"""22","000""",35,1
575,Baba Dogo,"""43","400""",77,0
576,Upper Savannah,"""15","000""",58,0
577,Kwa Njenga,"""43","600""",110,1
578,Kayole Central,"""42","400""",65,0
579,Mountain View,"""77","378""",50,0
580,Athi River,"""16","000""",94,1
581,Pipeline,"""44","918""",50,0
582,Makongeni,"""90","017""",66,1
583,Nyayo Highrise,"""21","000""",104,1
584,Harambee,"""48","000""",78,1
585,Mwiki,"""42","200""",94,1
586,Landimawe,"""44","400""",71,1
587,Korogocho,"""45","800""",63,1
588,Sarangombe,"""16","000""",61,1
589,Nyayo Highrise,"""123","000""",91,1
590,Karen,"""13","000""",87,1
591,Kware,"""123","000""",74,0
592,Nyayo Highrise,"""17","000""",49,0
593,Kiamaiko,"""12","000""",52,0
594,Mabatini,"""22","000""",92,0
595,Westlands,"""26","000""",122,0
596,Riruta,"""17","000""",110,1
597,Lower Savannah,"""231","700""",109,0
598,Mihango,"""22","000""",71,0
599,Korogocho,"""90","017""",74,0
600,Umoja II,"""55","500""",64,0
601,Ngei,"""42","800""",78,1
602,Korogocho,"""43","600""",106,0
603,Dandora Area II,"""14","000""",67,1
604,Kitisuru,"""18","000""",94,1
605,Sarangombe,"""46","600""",53,0
606,Utalii,"""44","918""",78,0
607,Kawangware,"""90","017""",69,1
608,Mowlem,"""36","037""",99,1
609,Embakasi,"""46","200""",98,0
610,Roysambu,"""45","800""",59,1
611,Kawangware,"""10","000""",70,1
612,Thika,"""45","200""",35,0
613,Waithaka,"""231","700""",79,0
614,Komarock,"""43","600""",51,0
615,Riruta,"""45","800""",113,1
616,Mugumu-Ini,"""42","400""",53,1
617,Uthiru/Ruthi,"""14","000""",64,0
618,California,"""13","000""",64,0
619,Uthiru/Ruthi,"""18","000""",84,1
620,Mutu-ini,"""44","000""",50,0
621,Pangani,"""19","000""",115,1
622,Pipeline,"""55","500""",107,1
623,Kayole North,"""44","200""",54,0
624,Kiamaiko,"""48","997""",85,1
625,Karura,"""44","000""",70,1
626,Maringo/Hamza,"""26","000""",44,0
627,Pipeline,"""42","500""",77,0
628,Kilimani,"""19","000""",65,1
629,Lindi Makina,"""38","918""",92,0
630,Embakasi East,"""39","377""",97,1
631,Embakasi North,"""42","500""",85,1
632,Ngara,"""42","600""",40,0
633,Syokimau,"""44","600""",100,0
634,Komarock,"""231","700""",69,1
635,Mabatini,"""29","000""",110,0
636,Kileleshwa,"""42","600""",68,0
637,Mutu-ini,"""44","918""",33,0
638,Pangani,"""109","890""",56,1
639,Embakasi North,"""46","600""",97,0
640,Mugumu-Ini,"""109","890""",59,1
641,Pangani,"""55","500""",58,0
642,Karen,"""26","000""",32,0
643,Roysambu,"""44","200""",60,0
644,Matopeni/Spring Valley,"""41","600""",98,0
645,Komarock,"""62","583""",98,0
646,Mathare South,"""43","400""",52,0
647,Ziwani/Kariokor,"""42","972""",49,1
648,Kilimani,"""39","377""",52,0
649,Woodley /Kenyatta Golf Course,"""9","000""",39,0
650,Mutu-ini,"""36","037""",51,0
651,Utalii,"""43","400""",45,1
652,Dandora Area I,"""46","600""",96,0
653,Dandora Area III,"""41","900""",111,1
654,Riruta,"""10","000""",85,1
655,Dandora Area III,"""55","500""",65,0
656,Eastleigh North,"""40","500""",93,0
657,Mwiki,"""11","000""",104,0
658,Kayole South,"""41","600""",43,0
659,Ziwani/Kariokor,"""17","000""",67,1
660,Embakasi North,"""13","000""",98,1
661,Mutu-ini,"""43","000""",87,0
662,Eastleigh South,"""231","700""",60,0
663,Utawala,"""46","200""",57,0
664,Lindi Makina,"""38","918""",120,1
665,Mathare North,"""46","000""",99,0
666,Dandora Area II,"""25","000""",114,0
667,Ngando,"""19","000""",43,0
668,Mugumu-Ini,"""109","890""",51,1
669,South C,"""16","000""",104,0
670,Athi River,"""12","000""",82,0
671,Gatina,"""42","000""",88,1
672,Makongeni,"""46","600""",46,0
673,Pumwani,"""38","918""",86,0
674,Waithaka,"""43","000""",89,0
675,Kitisuru,"""27","000""",67,1
676,Kahawa West,"""44","918""",109,1
677,Korogocho,"""36","037""",47,0
678,Nairobi West,"""46","600""",59,1
679,Mowlem,"""12","000""",101,0
680,Utalii,"""12","000""",47,0
681,Kayole South,"""38","918""",106,0
682,Mabatini,"""15","000""",92,1
683,Kayole South,"""19","000""",68,0
684,Kasarani,"""42","300""",62,1
685,Mabatini,"""48","000""",67,0
686,Upper Savannah,"""52","500""",65,0
687,Harambee,"""15","000""",109,1
688,Maringo/Hamza,"""43","000""",66,0
689,Dandora Area IV,"""22","000""",88,1
690,Nyayo Highrise,"""12","000""",90,1
691,Syokimau,"""9","000""",50,0
692,Embakasi South,"""44","918""",42,0
693,Matopeni/Spring Valley,"""20","000""",51,0
694,South C,"""41","700""",103,1
695,Mabatini,"""109","890""",79,1
696,Nairobi Central,"""25","000""",47,0
697,Dandora Area III,"""41","600""",72,0
698,Uthiru/Ruthi,"""65","574""",58,0
699,Embakasi Central,"""9","000""",61,1
700,Woodley /Kenyatta Golf Course,"""62","583""",64,0
701,Woodley /Kenyatta Golf Course,"""77","378""",73,0
702,Pipeline,"""77","378""",111,1
703,Kileleshwa,"""21","000""",80,0
704,Kayole North,"""42","200""",72,1
705,Ruiru,"""16","000""",54,0
706,Githurai,"""46","600""",55,1
